example_id                                                                | status | run_time        |
./spec/requests/spree/checkout_spec.rb[1:2:6:1:1]                         | passed | 0.1477 seconds  |
./spec/requests/spree/checkout_spec.rb[1:2:6:2:1]                         | passed | 0.36103 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:7:1]                           | passed | 0.19334 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:8:1:1]                         | passed | 0.14431 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:8:2:1:1]                       | passed | 0.1602 seconds  |
./spec/requests/spree/checkout_spec.rb[1:3:1:1]                           | passed | 0.11434 seconds |
./spec/requests/spree/checkout_spec.rb[1:3:1:2]                           | passed | 0.113 seconds   |
./spec/requests/spree/checkout_spec.rb[1:4:1]                             | passed | 0.15576 seconds |
./spec/requests/spree/checkout_spec.rb[1:4:2]                             | passed | 0.1209 seconds  |
./spec/requests/spree/checkout_spec.rb[1:5:1]                             | passed | 0.17394 seconds |
./spec/requests/spree/checkout_with_views_spec.rb[1:1:1:1]                | passed | 1.12 seconds    |
./spec/requests/spree/current_order_tracking_spec.rb[1:1]                 | passed | 0.18298 seconds |
./spec/requests/spree/current_order_tracking_spec.rb[1:2:1]               | passed | 0.18318 seconds |
./spec/requests/spree/home_spec.rb[1:1]                                   | passed | 0.04467 seconds |
./spec/requests/spree/home_spec.rb[1:2:1]                                 | passed | 0.03649 seconds |
./spec/requests/spree/home_spec.rb[1:2:2:1]                               | passed | 0.06029 seconds |
./spec/requests/spree/locale_spec.rb[1:1:1:1]                             | passed | 0.01928 seconds |
./spec/requests/spree/locale_spec.rb[1:1:2:1]                             | passed | 0.01283 seconds |
./spec/requests/spree/locale_spec.rb[1:2:1:1]                             | passed | 0.01943 seconds |
./spec/requests/spree/locale_spec.rb[1:2:2:1]                             | passed | 0.01782 seconds |
./spec/requests/spree/locale_spec.rb[1:3:1]                               | passed | 0.01872 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:1]                         | passed | 0.00664 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:1:1]                     | passed | 0.13628 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:2:1]                     | passed | 0.03897 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:3:1]                     | passed | 0.04383 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:4:1]                     | passed | 0.04448 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:5:1]                     | passed | 0.03696 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:1:1]                   | passed | 0.08281 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:1:2]                   | passed | 0.06301 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:2:1]                   | passed | 0.01156 seconds |
./spec/requests/spree/orders_spec.rb[1:1:1]                               | passed | 0.19488 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:1]                             | passed | 0.13367 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:2:1]                           | passed | 0.08759 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:3:1]                           | passed | 0.11199 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:4:1]                           | passed | 0.10948 seconds |
./spec/requests/spree/orders_spec.rb[1:2:1:1]                             | passed | 0.07408 seconds |
./spec/requests/spree/orders_spec.rb[1:2:1:2:1]                           | passed | 0.18159 seconds |
./spec/requests/spree/orders_spec.rb[1:2:2:1]                             | passed | 0.05334 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:1]                             | passed | 0.16708 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:2]                             | passed | 0.13865 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:3]                             | passed | 0.14122 seconds |
./spec/requests/spree/orders_spec.rb[1:3:2:1]                             | passed | 0.00952 seconds |
./spec/requests/spree/orders_spec.rb[1:4:1]                               | passed | 0.13944 seconds |
./spec/requests/spree/orders_spec.rb[1:5:1]                               | passed | 0.22805 seconds |
./spec/requests/spree/orders_transitions_spec.rb[1:1:1]                   | passed | 0.14024 seconds |
./spec/requests/spree/products_spec.rb[1:1:1]                             | passed | 0.067 seconds   |
./spec/requests/spree/products_spec.rb[1:1:2]                             | passed | 0.0756 seconds  |
./spec/requests/spree/products_spec.rb[1:2:1]                             | passed | 0.09633 seconds |
./spec/requests/spree/products_spec.rb[1:2:2]                             | passed | 0.09828 seconds |
./spec/requests/spree/taxons_spec.rb[1:1]                                 | passed | 0.08185 seconds |
